time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub684 [m3/s],sub685 [m3/s],sub687 [m3/s],sub687 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,4.27121,10.1494,7.19874,13.0223,67.9085,
1,2010-01-02,00:00:00.00,3.13295,2.46109,7.40348,5.13865,10.4838,58.4694,38
2,2010-01-03,00:00:00.00,0.375529,0.32599,3.10005,1.78964,5.78361,36.8074,27
3,2010-01-04,00:00:00.00,0.957942,0.0328477,0.840912,0.259871,2.57643,18.2623,22
4,2010-01-05,00:00:00.00,0.359204,0.0732666,0.132002,0.0773757,0.850294,9.75564,26
5,2010-01-06,00:00:00.00,2.16525,0.0979795,0.144697,0.152145,0.193051,5.62154,31
6,2010-01-07,00:00:00.00,0.217383,0.111338,0.171781,0.178001,0.256554,2.66679,30.5
7,2010-01-08,00:00:00.00,0.849323,0.111515,0.179709,0.188421,0.32287,1.52735,34
8,2010-01-09,00:00:00.00,2.41582,0.111973,0.184111,0.188529,0.340835,1.49183,30
9,2010-01-10,00:00:00.00,0.0164863,0.110687,0.207755,0.187389,0.338283,1.61335,26
10,2010-01-11,00:00:00.00,0.0153163,0.110591,0.244417,0.186473,0.339878,1.64838,25
11,2010-01-12,00:00:00.00,3.41201,0.109717,0.257156,0.185483,0.336208,1.67511,26.2
12,2010-01-13,00:00:00.00,0.312124,0.109416,0.25215,0.18462,0.335339,1.69338,28
13,2010-01-14,00:00:00.00,0.0100364,0.108745,0.250744,0.183713,0.333388,1.68822,28.2
14,2010-01-15,00:00:00.00,0.0734311,0.108316,0.247802,0.182844,0.331908,1.67366,26
15,2010-01-16,00:00:00.00,0.386238,0.107688,0.244066,0.181906,0.330213,1.65911,30.2
16,2010-01-17,00:00:00.00,0.0506786,0.107139,0.242283,0.180936,0.328533,1.64002,33.2
17,2010-01-18,00:00:00.00,0.0146612,0.106478,0.24122,0.179891,0.326709,1.62017,32.3
18,2010-01-19,00:00:00.00,0.0170789,0.105855,0.239707,0.178817,0.324825,1.60448,31.7
19,2010-01-20,00:00:00.00,1.38874,0.105185,0.23788,0.177714,0.322858,1.5937,30
20,2010-01-21,00:00:00.00,0.331413,0.10454,0.236998,0.17661,0.320869,1.58402,28
21,2010-01-22,00:00:00.00,0.00636765,0.103902,0.236593,0.175527,0.318884,1.57484,26
22,2010-01-23,00:00:00.00,0.012168,0.103311,0.235219,0.174497,0.316959,1.56785,27
23,2010-01-24,00:00:00.00,0.00585995,0.102724,0.232519,0.173503,0.315101,1.5619,28.2
24,2010-01-25,00:00:00.00,6.35178,0.107077,0.236484,0.177552,0.317736,1.56364,29
25,2010-01-26,00:00:00.00,8.66975,0.13858,0.282022,0.212204,0.350083,1.64221,46.6
26,2010-01-27,00:00:00.00,2.70673,0.225825,0.429254,0.320603,0.465515,1.97955,54
27,2010-01-28,00:00:00.00,3.1772,0.338173,0.662915,0.491436,0.686437,2.74131,47
28,2010-01-29,00:00:00.00,4.52263,0.369236,0.814549,0.599896,0.914467,3.75984,33
29,2010-01-30,00:00:00.00,1.29781,0.280827,0.740456,0.53618,0.985475,4.49374,28
30,2010-01-31,00:00:00.00,0.0320661,0.17095,0.522627,0.366178,0.85016,4.50246,29
31,2010-02-01,00:00:00.00,5.17202,0.118063,0.340984,0.234345,0.619165,3.8516,31
32,2010-02-02,00:00:00.00,0.826528,0.107012,0.261552,0.185962,0.432652,2.97221,29.5
33,2010-02-03,00:00:00.00,1.89009,0.10647,0.243495,0.17917,0.344657,2.2575,28
34,2010-02-04,00:00:00.00,1.44109,0.106065,0.241017,0.178993,0.323663,1.84332,26.2
35,2010-02-05,00:00:00.00,0.0215897,0.105488,0.239062,0.178171,0.322633,1.66418,25.5
36,2010-02-06,00:00:00.00,0.0016413,0.104945,0.237087,0.177187,0.321763,1.60355,26
37,2010-02-07,00:00:00.00,0.00872309,0.10432,0.236576,0.176206,0.319904,1.58261,24.5
38,2010-02-08,00:00:00.00,0.0178067,0.103728,0.237608,0.175179,0.318081,1.57202,23.7
39,2010-02-09,00:00:00.00,0.00653244,0.10314,0.236961,0.174185,0.316275,1.56795,25
40,2010-02-10,00:00:00.00,1.43241,0.10262,0.234474,0.173261,0.31452,1.56776,26
41,2010-02-11,00:00:00.00,3.29927,0.10212,0.231978,0.172402,0.312873,1.56385,25.8
42,2010-02-12,00:00:00.00,0.00850774,0.101623,0.229736,0.171563,0.311309,1.55223,25.6
43,2010-02-13,00:00:00.00,0.36625,0.101095,0.228674,0.170694,0.309756,1.5366,26.2
44,2010-02-14,00:00:00.00,0.288784,0.100549,0.227682,0.169785,0.30816,1.52267,27
45,2010-02-15,00:00:00.00,1.17876,0.0999951,0.225687,0.168856,0.306513,1.51229,26.1
46,2010-02-16,00:00:00.00,0.839875,0.099444,0.223115,0.167924,0.304834,1.50268,25.7
47,2010-02-17,00:00:00.00,0.456238,0.0988822,0.221107,0.166984,0.303138,1.49034,25.2
48,2010-02-18,00:00:00.00,0.264165,0.0983018,0.21956,0.166018,0.301414,1.47551,25
49,2010-02-19,00:00:00.00,0.0858851,0.0977032,0.216919,0.16502,0.299647,1.46086,24.8
50,2010-02-20,00:00:00.00,0.0309414,0.097091,0.214323,0.163996,0.297829,1.44654,24.5
51,2010-02-21,00:00:00.00,0.0031244,0.0964608,0.212734,0.162945,0.29596,1.43096,24
52,2010-02-22,00:00:00.00,0.00205011,0.0958124,0.211164,0.161864,0.294039,1.41524,23.6
53,2010-02-23,00:00:00.00,11.5589,0.0951546,0.209573,0.160761,0.292072,1.40185,24.5
54,2010-02-24,00:00:00.00,1.19626,0.0945003,0.207907,0.159654,0.290079,1.39065,24.3
55,2010-02-25,00:00:00.00,0.818898,0.0938648,0.205904,0.158569,0.288094,1.3798,24.1
56,2010-02-26,00:00:00.00,3.975,0.0932629,0.204993,0.15753,0.286159,1.36862,23.7
