time,date,hour,precip [mm/day],sub688 [m3/s],sub688 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,4.2922,
1,2010-01-02,00:00:00.00,1.29616,2.40124,4.1343
2,2010-01-03,00:00:00.00,1.72935,0.255379,3.3131
3,2010-01-04,00:00:00.00,6.81859,0.0245978,2.7977
4,2010-01-05,00:00:00.00,1.93824,0.0535672,3.0582
5,2010-01-06,00:00:00.00,2.92204,0.0713651,3.1149
6,2010-01-07,00:00:00.00,1.31252,0.0808883,3.0016
7,2010-01-08,00:00:00.00,0.949067,0.0808076,3.1432
8,2010-01-09,00:00:00.00,3.52811,0.081304,2.9733
9,2010-01-10,00:00:00.00,0.359737,0.0801916,2.6051
10,2010-01-11,00:00:00.00,0.1148,0.0802581,2.2172
11,2010-01-12,00:00:00.00,1.60183,0.0794576,2.6136
12,2010-01-13,00:00:00.00,0.733075,0.0793235,2.5315
13,2010-01-14,00:00:00.00,0.0784029,0.0787055,2.3446
14,2010-01-15,00:00:00.00,0.00375931,0.078436,2.3022
15,2010-01-16,00:00:00.00,0.383384,0.077878,2.7581
16,2010-01-17,00:00:00.00,0.0077159,0.0774901,4.2475
17,2010-01-18,00:00:00.00,0.2028,0.0769329,4.5024
18,2010-01-19,00:00:00.00,0.343206,0.0767835,6.0881
19,2010-01-20,00:00:00.00,1.88551,0.0777566,6.0032
20,2010-01-21,00:00:00.00,1.23662,0.0803745,4.7006
21,2010-01-22,00:00:00.00,0.00987619,0.0820988,3.3697
22,2010-01-23,00:00:00.00,0.0123501,0.0803081,3.1149
23,2010-01-24,00:00:00.00,0.054325,0.0768192,2.5485
24,2010-01-25,00:00:00.00,13.446,0.086373,5.2953
25,2010-01-26,00:00:00.00,26.1176,0.194838,97.1268
26,2010-01-27,00:00:00.00,2.76218,0.565538,18.1511
27,2010-01-28,00:00:00.00,2.27406,1.163,5.9465
28,2010-01-29,00:00:00.00,11.2654,1.46538,4.2475
29,2010-01-30,00:00:00.00,1.0443,1.0942,3.1149
30,2010-01-31,00:00:00.00,0.11068,0.498429,2.9733
31,2010-02-01,00:00:00.00,2.43797,0.186888,2.5485
32,2010-02-02,00:00:00.00,0.435579,0.119004,2.6901
33,2010-02-03,00:00:00.00,0.385771,0.117999,2.5485
34,2010-02-04,00:00:00.00,1.3458,0.118132,2.6759
35,2010-02-05,00:00:00.00,0.0505109,0.117375,2.3871
36,2010-02-06,00:00:00.00,0.0209991,0.117198,2.1861
37,2010-02-07,00:00:00.00,0.37182,0.116544,2.07
38,2010-02-08,00:00:00.00,0.284089,0.116243,1.7132
39,2010-02-09,00:00:00.00,0.352127,0.115721,1.7217
40,2010-02-10,00:00:00.00,0.518235,0.115439,1.7047
41,2010-02-11,00:00:00.00,4.60832,0.115058,1.7132
42,2010-02-12,00:00:00.00,0.219196,0.114808,1.7047
43,2010-02-13,00:00:00.00,0.178685,0.114515,1.6565
44,2010-02-14,00:00:00.00,2.23774,0.11431,1.5971
45,2010-02-15,00:00:00.00,8.98697,0.114051,1.6084
46,2010-02-16,00:00:00.00,4.65331,0.113794,1.6509
47,2010-02-17,00:00:00.00,0.532122,0.113515,1.6905
48,2010-02-18,00:00:00.00,7.14117,0.113293,1.6622
49,2010-02-19,00:00:00.00,2.1916,0.113107,1.699
50,2010-02-20,00:00:00.00,0.380352,0.112957,1.7245
51,2010-02-21,00:00:00.00,0.109126,0.11281,1.6877
52,2010-02-22,00:00:00.00,0.00859607,0.11265,1.7245
53,2010-02-23,00:00:00.00,1.41812,0.112436,1.682
54,2010-02-24,00:00:00.00,0.257564,0.112194,2.0643
55,2010-02-25,00:00:00.00,0.248909,0.111973,2.0728
56,2010-02-26,00:00:00.00,7.00435,0.111782,2.1124
57,2010-02-27,00:00:00.00,15.7958,0.116636,2.1323
58,2010-02-28,00:00:00.00,8.81179,0.142993,2.4183
59,2010-03-01,00:00:00.00,1.97082,0.201792,2.4636
60,2010-03-02,00:00:00.00,0.877492,0.25385,2.3163
61,2010-03-03,00:00:00.00,0.21653,0.24145,2.2653
62,2010-03-04,00:00:00.00,0.0423257,0.182901,2.3984
63,2010-03-05,00:00:00.00,3.07998e-308,0.137979,2.5485
64,2010-03-06,00:00:00.00,0.00191067,0.122198,2.5485
65,2010-03-07,00:00:00.00,0.0026239,0.119896,2.4919
66,2010-03-08,00:00:00.00,0.00152049,0.11978,2.5485
67,2010-03-09,00:00:00.00,0.000166572,0.119621,3.1149
68,2010-03-10,00:00:00.00,0,0.119492,5.3802
69,2010-03-11,00:00:00.00,0.00800671,0.172763,8.9198
70,2010-03-12,00:00:00.00,0.201047,0.467831,26.901
71,2010-03-13,00:00:00.00,4.51751,1.17515,70.7921
72,2010-03-14,00:00:00.00,5.7237,1.91199,64.5624
73,2010-03-15,00:00:00.00,4.44629,1.95879,43.3248
74,2010-03-16,00:00:00.00,0.780256,1.3796,19.3404
75,2010-03-17,00:00:00.00,0.0264988,0.834149,11.9214
76,2010-03-18,00:00:00.00,0,0.566991,8.4101
77,2010-03-19,00:00:00.00,0,0.452276,6.8527
78,2010-03-20,00:00:00.00,0,0.396941,5.805
79,2010-03-21,00:00:00.00,0,0.378237,4.8139
80,2010-03-22,00:00:00.00,0.122991,0.378094,3.8794
81,2010-03-23,00:00:00.00,9.65411,0.39027,8.2685
82,2010-03-24,00:00:00.00,10.9296,0.450163,21.6341
83,2010-03-25,00:00:00.00,0.471925,0.60933,18.3776
84,2010-03-26,00:00:00.00,9.0774,0.823753,6.5695
85,2010-03-27,00:00:00.00,0,0.939295,5.7766
86,2010-03-28,00:00:00.00,0,0.92375,3.9644
87,2010-03-29,00:00:00.00,4.83565,0.856828,3.8511
88,2010-03-30,00:00:00.00,1.70291,0.769884,8.6083
89,2010-03-31,00:00:00.00,2.59079e-308,0.719723,5.3236
90,2010-04-01,00:00:00.00,4.4096e-308,0.715776,3.8511
91,2010-04-02,00:00:00.00,0,0.696723,3.2564
92,2010-04-03,00:00:00.00,0,0.661617,2.8289
93,2010-04-04,00:00:00.00,0.0275142,0.640497,2.4636
94,2010-04-05,00:00:00.00,0,0.637438,2.0841
95,2010-04-06,00:00:00.00,0.0847656,0.640896,1.801
96,2010-04-07,00:00:00.00,8.28426,0.652225,2.1747
97,2010-04-08,00:00:00.00,3.92563,0.695677,3.0299
98,2010-04-09,00:00:00.00,7.09059,0.796043,5.7766
99,2010-04-10,00:00:00.00,0.796442,0.908708,5.5501
100,2010-04-11,00:00:00.00,0.00592971,0.966342,3.2281
101,2010-04-12,00:00:00.00,0.347908,0.953408,2.3786
102,2010-04-13,00:00:00.00,0.0134821,0.886231,1.9425
103,2010-04-14,00:00:00.00,0.00252,0.821427,1.6707
104,2010-04-15,00:00:00.00,0,0.793847,1.4895
105,2010-04-16,00:00:00.00,0.0213768,0.790091,1.3705
106,2010-04-17,00:00:00.00,7.01953,0.798884,1.5886
107,2010-04-18,00:00:00.00,0.456225,0.830806,4.4457
108,2010-04-19,00:00:00.00,0.600372,0.897616,3.0299
109,2010-04-20,00:00:00.00,0.000581709,0.947108,2.8883
110,2010-04-21,00:00:00.00,0.000316994,0.928083,1.9142
111,2010-04-22,00:00:00.00,0.00211135,0.882622,1.5659
112,2010-04-23,00:00:00.00,0.0317584,0.858078,1.3847
113,2010-04-24,00:00:00.00,0,0.852998,1.2063
114,2010-04-25,00:00:00.00,0.0865536,0.853899,1.0902
115,2010-04-26,00:00:00.00,11.6488,0.866489,1.5999
116,2010-04-27,00:00:00.00,2.6749,0.929151,5.8616
117,2010-04-28,00:00:00.00,0.123498,1.06696,4.2192
118,2010-04-29,00:00:00.00,0.00151766,1.16923,2.2144
119,2010-04-30,00:00:00.00,0.000706314,1.12561,1.5801
120,2010-05-01,00:00:00.00,0.00298138,1.02572,1.2771
121,2010-05-02,00:00:00.00,0.0243932,0.969112,1.144
122,2010-05-03,00:00:00.00,0.29658,0.953787,1.0647
123,2010-05-04,00:00:00.00,3.19138,0.951543,1.0506
124,2010-05-05,00:00:00.00,0.312235,0.948774,1.0024
125,2010-05-06,00:00:00.00,14.6585,0.960783,0.8807
126,2010-05-07,00:00:00.00,6.47106,1.0373,5.5501
127,2010-05-08,00:00:00.00,7.04404,1.22976,2.4692
128,2010-05-09,00:00:00.00,10.6375,1.44341,7.2208
129,2010-05-10,00:00:00.00,1.33315,1.5528,6.1164
130,2010-05-11,00:00:00.00,0,1.59719,3.1432
131,2010-05-12,00:00:00.00,5.6102,1.57343,1.9284
132,2010-05-13,00:00:00.00,2.92243,1.47068,4.2192
133,2010-05-14,00:00:00.00,13.3381,1.4163,3.9077
134,2010-05-15,00:00:00.00,1.05323,1.47954,29.1664
135,2010-05-16,00:00:00.00,0.00625738,1.63071,5.1537
136,2010-05-17,00:00:00.00,6.34719e-308,1.72045,3.1149
137,2010-05-18,00:00:00.00,0.0229312,1.63608,2.1606
138,2010-05-19,00:00:00.00,3.97475,1.50386,2.0133
139,2010-05-20,00:00:00.00,0.027997,1.43415,3.4547
140,2010-05-21,00:00:00.00,0.00407231,1.41852,1.968
141,2010-05-22,00:00:00.00,0.0281971,1.41596,1.396
142,2010-05-23,00:00:00.00,1.90031,1.40118,1.3309
143,2010-05-24,00:00:00.00,0.0101276,1.38259,1.2743
144,2010-05-25,00:00:00.00,0,1.36634,1.0506
145,2010-05-26,00:00:00.00,7.581e-308,1.35304,0.8495
146,2010-05-27,00:00:00.00,8.7267e-308,1.34008,0.7277
147,2010-05-28,00:00:00.00,0.0744953,1.32681,0.6485
148,2010-05-29,00:00:00.00,0.388823,1.31311,0.5975
149,2010-05-30,00:00:00.00,0.016684,1.29934,0.5607
150,2010-05-31,00:00:00.00,0,1.28548,0.4955
151,2010-06-01,00:00:00.00,0.848877,1.27166,0.4163
152,2010-06-02,00:00:00.00,13.5349,1.2695,0.6711
153,2010-06-03,00:00:00.00,9.43594,1.3229,0.6909
154,2010-06-04,00:00:00.00,5.65848,1.48172,0.8212
155,2010-06-05,00:00:00.00,0.98817,1.65714,1.1072
156,2010-06-06,00:00:00.00,12.7411,1.69713,5.805
157,2010-06-07,00:00:00.00,58.2997,1.72843,39.0772
158,2010-06-08,00:00:00.00,0.0457647,2.16686,7.0226
159,2010-06-09,00:00:00.00,0.0154814,3.21738,2.7694
160,2010-06-10,00:00:00.00,5.1279,3.92066,1.8519
161,2010-06-11,00:00:00.00,6.11641,3.53883,5.0121
162,2010-06-12,00:00:00.00,0.0210236,2.91235,2.8883
163,2010-06-13,00:00:00.00,0.65255,2.61639,1.5857
164,2010-06-14,00:00:00.00,3.35526,2.51768,1.5036
165,2010-06-15,00:00:00.00,1.45352,2.44443,1.4555
166,2010-06-16,00:00:00.00,0.000257969,2.35769,1.2884
167,2010-06-17,00:00:00.00,9.72539,2.30744,6.343
168,2010-06-18,00:00:00.00,0.230212,2.30697,3.1432
169,2010-06-19,00:00:00.00,0.00146966,2.37746,1.4187
170,2010-06-20,00:00:00.00,0.778007,2.41611,1.0024
171,2010-06-21,00:00:00.00,0.192013,2.34504,0.8155
172,2010-06-22,00:00:00.00,0.00298261,2.23906,0.6881
173,2010-06-23,00:00:00.00,12.3976,2.17608,0.7787
174,2010-06-24,00:00:00.00,3.70189,2.19172,1.3649
175,2010-06-25,00:00:00.00,10.1968,2.31337,1.9935
176,2010-06-26,00:00:00.00,0.00520892,2.43586,1.2714
177,2010-06-27,00:00:00.00,0.103963,2.4727,0.8212
178,2010-06-28,00:00:00.00,7.62961,2.43614,0.6881
179,2010-06-29,00:00:00.00,10.9227,2.35465,1.1468
180,2010-06-30,00:00:00.00,0.0231123,2.35062,1.9737
181,2010-07-01,00:00:00.00,0.0517115,2.44679,0.8637
182,2010-07-02,00:00:00.00,0.00151189,2.47511,0.5862
183,2010-07-03,00:00:00.00,0.0112693,2.36648,0.4701
184,2010-07-04,00:00:00.00,0,2.23288,0.3964
185,2010-07-05,00:00:00.00,0,2.14693,0.3228
186,2010-07-06,00:00:00.00,0,2.09406,0.2973
187,2010-07-07,00:00:00.00,0.000216274,2.05233,0.235
188,2010-07-08,00:00:00.00,0.00109366,2.01061,0.2325
189,2010-07-09,00:00:00.00,0.0985809,1.97048,0.1991
190,2010-07-10,00:00:00.00,24.1086,1.95813,0.7221
191,2010-07-11,00:00:00.00,0.048078,2.06346,1.3819
192,2010-07-12,00:00:00.00,0.00618302,2.35658,0.5437
193,2010-07-13,00:00:00.00,0.291354,2.56244,0.3398
194,2010-07-14,00:00:00.00,0.403787,2.43249,0.2801
195,2010-07-15,00:00:00.00,0.000423765,2.19942,0.241
196,2010-07-16,00:00:00.00,0.0138099,2.05461,0.2234
197,2010-07-17,00:00:00.00,2.4787,1.98647,0.1875
198,2010-07-18,00:00:00.00,0.258312,1.9461,0.1642
199,2010-07-19,00:00:00.00,0.174719,1.9053,0.1433
200,2010-07-20,00:00:00.00,2.11748,1.86736,0.1674
201,2010-07-21,00:00:00.00,0.0844539,1.82959,0.1489
202,2010-07-22,00:00:00.00,3.98292,1.79384,1.2431
203,2010-07-23,00:00:00.00,0.0525846,1.75883,0.8722
