time,date,hour,precip [mm/day],sub696 [m3/s],sub696 (observed) [m3/s],sub698 [m3/s]
0,2010-01-01,00:00:00.00,---,12.8767,,8.09747
1,2010-01-02,00:00:00.00,3.48292,10.5802,5.6,6.24007
2,2010-01-03,00:00:00.00,10.5174,6.5424,4.8,3.21057
3,2010-01-04,00:00:00.00,10.8344,4.04606,4.2,2.02419
4,2010-01-05,00:00:00.00,5.75145,3.0464,3.8,1.83857
5,2010-01-06,00:00:00.00,4.56879,2.76188,3.45,1.64141
6,2010-01-07,00:00:00.00,0.346503,2.59809,3.23,1.58509
7,2010-01-08,00:00:00.00,4.92324,2.49092,3.08,1.52465
8,2010-01-09,00:00:00.00,3.91483,2.42066,2.97,1.4752
9,2010-01-10,00:00:00.00,0.136633,2.33538,2.82,1.43022
10,2010-01-11,00:00:00.00,0.0879807,2.27334,2.75,1.38696
11,2010-01-12,00:00:00.00,2.06563,2.19882,2.68,1.34822
12,2010-01-13,00:00:00.00,0.0578879,2.14166,2.62,1.31079
13,2010-01-14,00:00:00.00,4.45916e-308,2.07896,2.58,1.27656
14,2010-01-15,00:00:00.00,0.0121241,2.02697,2.54,1.24364
15,2010-01-16,00:00:00.00,0.0386231,1.97271,2.5,1.21288
16,2010-01-17,00:00:00.00,0.0042823,1.92518,2.47,1.18327
17,2010-01-18,00:00:00.00,0.00291272,1.87714,2.44,1.15531
18,2010-01-19,00:00:00.00,0.0493368,1.8336,2.42,1.12851
19,2010-01-20,00:00:00.00,0.823588,1.79054,2.4,1.10311
20,2010-01-21,00:00:00.00,0.411212,1.75082,2.38,1.0789
21,2010-01-22,00:00:00.00,0.000525973,1.71209,2.36,1.05592
22,2010-01-23,00:00:00.00,0.00394066,1.67579,2.34,1.03387
23,2010-01-24,00:00:00.00,0.00471559,1.64049,2.32,1.01268
24,2010-01-25,00:00:00.00,12.1803,1.91787,2.6,1.27506
25,2010-01-26,00:00:00.00,4.75338,3.74964,36,2.91384
26,2010-01-27,00:00:00.00,2.57718,7.15849,64.6,5.61843
27,2010-01-28,00:00:00.00,0.868175,9.25387,60.4,6.25918
28,2010-01-29,00:00:00.00,1.05577,8.47218,43.2,4.87186
29,2010-01-30,00:00:00.00,0.277631,6.90959,30,4.02114
30,2010-01-31,00:00:00.00,0.0734017,6.05007,21,3.68997
31,2010-02-01,00:00:00.00,0.581265,5.54137,14,3.39227
32,2010-02-02,00:00:00.00,0.0105401,5.12097,11,3.14056
33,2010-02-03,00:00:00.00,2.07331,4.75272,8.3,2.91931
34,2010-02-04,00:00:00.00,0.458753,4.44073,6.5,2.73309
35,2010-02-05,00:00:00.00,0.001176,4.17762,5.2,2.57876
36,2010-02-06,00:00:00.00,0.000151747,3.9632,4.6,2.44602
37,2010-02-07,00:00:00.00,0.00099073,3.76256,4.15,2.31779
38,2010-02-08,00:00:00.00,0.000681867,3.57435,3.82,2.20272
39,2010-02-09,00:00:00.00,0.00939577,3.40246,3.6,2.10024
40,2010-02-10,00:00:00.00,5.80347,3.24981,3.4,2.00795
41,2010-02-11,00:00:00.00,8.23671,3.1108,3.2,1.92445
42,2010-02-12,00:00:00.00,0.723329,2.98623,3.03,1.84886
43,2010-02-13,00:00:00.00,0.0252936,2.87172,2.97,1.77988
44,2010-02-14,00:00:00.00,0.0323544,2.76759,2.8,1.71635
45,2010-02-15,00:00:00.00,0.625006,2.67067,2.68,1.65752
46,2010-02-16,00:00:00.00,0.242477,2.59254,2.6,1.60287
47,2010-02-17,00:00:00.00,1.82909,2.52523,2.49,1.55191
48,2010-02-18,00:00:00.00,0.791749,2.45307,2.41,1.50427
49,2010-02-19,00:00:00.00,0.0122683,2.3818,2.36,1.45959
50,2010-02-20,00:00:00.00,0.000719269,2.31395,2.31,1.41748
51,2010-02-21,00:00:00.00,0.000300011,2.24709,2.27,1.37763
52,2010-02-22,00:00:00.00,7.25179e-308,2.18439,2.24,1.33986
53,2010-02-23,00:00:00.00,14.2443,2.24236,2.3,1.41157
54,2010-02-24,00:00:00.00,0.400293,2.47421,2.35,1.65099
55,2010-02-25,00:00:00.00,0.182283,2.59295,2.36,1.76899
56,2010-02-26,00:00:00.00,1.83582,2.56694,2.28,1.64375
57,2010-02-27,00:00:00.00,4.8517,2.51734,2.22,1.51744
58,2010-02-28,00:00:00.00,3.2956,2.43566,2.19,1.4738
59,2010-03-01,00:00:00.00,0.19464,2.37525,2.17,1.46065
60,2010-03-02,00:00:00.00,0.000852528,2.31351,2.23,1.43331
61,2010-03-03,00:00:00.00,0.000808805,2.24465,2.26,1.37922
62,2010-03-04,00:00:00.00,0.000694466,2.1776,2.32,1.32933
63,2010-03-05,00:00:00.00,0,2.10914,2.39,1.28885
64,2010-03-06,00:00:00.00,0,2.04488,2.48,1.25224
65,2010-03-07,00:00:00.00,0,1.98619,2.6,1.21832
66,2010-03-08,00:00:00.00,0,1.93124,3.4,1.18595
67,2010-03-09,00:00:00.00,0,3.69616,6,2.74348
68,2010-03-10,00:00:00.00,0.00245717,24.0011,12,20.6048
69,2010-03-11,00:00:00.00,0.0117756,56.1188,28,45.0343
70,2010-03-12,00:00:00.00,0.00136296,65.4393,54.6,43.1803
71,2010-03-13,00:00:00.00,2.59596,50.4261,78.9,24.6563
72,2010-03-14,00:00:00.00,11.9572,34.7854,86.6,17.497
73,2010-03-15,00:00:00.00,1.80927,30.6767,90.1,19.8886
74,2010-03-16,00:00:00.00,0.0461541,29.1122,94.8,17.9061
75,2010-03-17,00:00:00.00,1.3233e-308,23.6446,84.5,12.8201
76,2010-03-18,00:00:00.00,0,17.6797,50.6,9.85445
77,2010-03-19,00:00:00.00,0,13.9323,29.9,8.30674
78,2010-03-20,00:00:00.00,9.28382e-308,11.8639,21.6,7.16983
79,2010-03-21,00:00:00.00,0.05028,10.3425,15.5,6.28981
80,2010-03-22,00:00:00.00,0.0650268,9.20839,11.7,5.59986
81,2010-03-23,00:00:00.00,3.84247,8.57897,9.67,5.32329
82,2010-03-24,00:00:00.00,0.168858,8.58355,8.82,5.42481
83,2010-03-25,00:00:00.00,0.0287781,8.36172,7.94,5.23646
84,2010-03-26,00:00:00.00,0.315101,7.75521,7.19,4.68342
85,2010-03-27,00:00:00.00,0.000440887,7.02814,6.4,4.24805
86,2010-03-28,00:00:00.00,0.000169655,6.4727,5.74,3.95956
87,2010-03-29,00:00:00.00,9.02379,6.92661,5.44,4.49038
88,2010-03-30,00:00:00.00,0.404318,8.72219,6.02,5.95443
89,2010-03-31,00:00:00.00,1.02953e-308,9.73628,6.34,6.35333
90,2010-04-01,00:00:00.00,0.0059601,9.00795,6.37,5.38594
91,2010-04-02,00:00:00.00,0,7.78764,5.83,4.63918
92,2010-04-03,00:00:00.00,0,6.98291,5.29,4.23938
93,2010-04-04,00:00:00.00,0.324228,6.39383,4.87,3.9002
94,2010-04-05,00:00:00.00,0.0382616,5.91305,4.53,3.6377
95,2010-04-06,00:00:00.00,1.13221,5.49587,4.18,3.38075
96,2010-04-07,00:00:00.00,19.8089,7.13265,5.98,4.85421
97,2010-04-08,00:00:00.00,19.5637,16.2616,30.1,12.4154
98,2010-04-09,00:00:00.00,13.8357,31.4888,77.6,24.168
99,2010-04-10,00:00:00.00,0.0527015,41.3689,93.3,29.0711
100,2010-04-11,00:00:00.00,0.0350418,39.0204,57,22.7251
