time,date,hour,precip [mm/day],04215000 [m3/s],04215000 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.341646,0.00967355,4.13426
2,2010-01-03,00:00:00.00,2.28465,0.0326385,3.31307
3,2010-01-04,00:00:00.00,6.61184,0.0459354,2.7977
4,2010-01-05,00:00:00.00,2.3812,0.0458701,3.05822
5,2010-01-06,00:00:00.00,1.82892,0.0457289,3.11485
6,2010-01-07,00:00:00.00,2.50085,0.0455884,3.00159
7,2010-01-08,00:00:00.00,0.802768,0.0454486,3.14317
8,2010-01-09,00:00:00.00,3.61632,0.0453096,2.97327
9,2010-01-10,00:00:00.00,0.475963,0.0451712,2.60515
10,2010-01-11,00:00:00.00,0.057178,0.0450336,2.21721
11,2010-01-12,00:00:00.00,1.13193,0.0448966,2.61365
12,2010-01-13,00:00:00.00,1.23585,0.0447604,2.53153
13,2010-01-14,00:00:00.00,0.107145,0.0446248,2.34464
14,2010-01-15,00:00:00.00,0.00460369,0.0444899,2.30216
15,2010-01-16,00:00:00.00,0.381217,0.0443557,2.75806
16,2010-01-17,00:00:00.00,0.0105773,0.0442221,4.24753
17,2010-01-18,00:00:00.00,0.0486505,0.0440892,4.50238
18,2010-01-19,00:00:00.00,0.436456,0.043957,6.08812
19,2010-01-20,00:00:00.00,0.851532,0.0438254,6.00317
20,2010-01-21,00:00:00.00,2.32174,0.0436945,4.7006
21,2010-01-22,00:00:00.00,0.0185203,0.0435642,3.3697
22,2010-01-23,00:00:00.00,0.00435385,0.0434346,3.11485
23,2010-01-24,00:00:00.00,0.0637792,0.0433056,2.54852
24,2010-01-25,00:00:00.00,9.40309,0.159005,5.29525
25,2010-01-26,00:00:00.00,30.1068,0.80599,97.1268
26,2010-01-27,00:00:00.00,2.28045,1.36722,18.1511
27,2010-01-28,00:00:00.00,2.61506,0.738339,5.94654
28,2010-01-29,00:00:00.00,11.0715,0.0743183,4.24753
29,2010-01-30,00:00:00.00,1.27913,0.0690411,3.11485
30,2010-01-31,00:00:00.00,0.246624,0.0687378,2.97327
31,2010-02-01,00:00:00.00,1.20119,0.0684437,2.54852
32,2010-02-02,00:00:00.00,1.55969,0.0681518,2.6901
33,2010-02-03,00:00:00.00,0.251546,0.0678623,2.54852
34,2010-02-04,00:00:00.00,1.47512,0.067575,2.67594
35,2010-02-05,00:00:00.00,0.167738,0.06729,2.38711
36,2010-02-06,00:00:00.00,0.00582526,0.0670073,2.18606
37,2010-02-07,00:00:00.00,0.30186,0.0667268,2.06996
38,2010-02-08,00:00:00.00,0.367899,0.0664485,1.71317
39,2010-02-09,00:00:00.00,0.33866,0.0661724,1.72166
40,2010-02-10,00:00:00.00,0.231764,0.0658985,1.70467
41,2010-02-11,00:00:00.00,4.73592,0.0656268,1.71317
42,2010-02-12,00:00:00.00,0.362462,0.0653572,1.70467
43,2010-02-13,00:00:00.00,0.183881,0.0650898,1.65654
44,2010-02-14,00:00:00.00,1.23392,0.0648245,1.59707
45,2010-02-15,00:00:00.00,7.16001,0.0645613,1.6084
46,2010-02-16,00:00:00.00,7.50894,0.06977,1.65087
47,2010-02-17,00:00:00.00,0.31043,0.077068,1.69052
48,2010-02-18,00:00:00.00,4.90598,0.0715102,1.6622
49,2010-02-19,00:00:00.00,4.36902,0.0654767,1.69901
50,2010-02-20,00:00:00.00,0.624857,0.0674631,1.7245
51,2010-02-21,00:00:00.00,0.104869,0.0656088,1.68768
52,2010-02-22,00:00:00.00,0.051055,0.0631128,1.7245
53,2010-02-23,00:00:00.00,0.685201,0.062851,1.68202
54,2010-02-24,00:00:00.00,0.925847,0.0626042,2.0643
55,2010-02-25,00:00:00.00,0.253938,0.0623593,2.07279
56,2010-02-26,00:00:00.00,3.23667,0.0621165,2.11244
57,2010-02-27,00:00:00.00,19.5813,0.146141,2.13226
58,2010-02-28,00:00:00.00,6.94321,0.282528,2.41826
59,2010-03-01,00:00:00.00,3.6881,0.238087,2.46357
60,2010-03-02,00:00:00.00,1.03136,0.11696,2.31632
61,2010-03-03,00:00:00.00,0.242136,0.0793687,2.26535
62,2010-03-04,00:00:00.00,0.0511885,0.0660138,2.39844
63,2010-03-05,00:00:00.00,0.000156054,0.065678,2.54852
64,2010-03-06,00:00:00.00,0.00152487,0.0654188,2.54852
65,2010-03-07,00:00:00.00,0.00213494,0.065162,2.49188
66,2010-03-08,00:00:00.00,0.00217483,0.0649078,2.54852
67,2010-03-09,00:00:00.00,0.000185733,0.0646558,3.11485
68,2010-03-10,00:00:00.00,0,0.064406,5.3802
69,2010-03-11,00:00:00.00,0.00411347,0.0641585,8.91981
70,2010-03-12,00:00:00.00,0.204785,0.0639136,26.901
71,2010-03-13,00:00:00.00,2.86205,0.0865939,70.7921
72,2010-03-14,00:00:00.00,4.93922,0.171527,64.5624
73,2010-03-15,00:00:00.00,6.86312,0.283762,43.3248
74,2010-03-16,00:00:00.00,0.797186,0.284524,19.3404
75,2010-03-17,00:00:00.00,0.0301206,0.152643,11.9214
76,2010-03-18,00:00:00.00,0,0.0694964,8.4101
77,2010-03-19,00:00:00.00,0,0.821911,6.85268
78,2010-03-20,00:00:00.00,0,2.78463,5.80495
79,2010-03-21,00:00:00.00,0,3.9647,4.81386
80,2010-03-22,00:00:00.00,0.122816,2.93489,3.87941
81,2010-03-23,00:00:00.00,7.58667,1.21135,8.26852
82,2010-03-24,00:00:00.00,11.6171,0.776803,21.6341
83,2010-03-25,00:00:00.00,1.84995,1.02167,18.3776
84,2010-03-26,00:00:00.00,7.63229,0.853384,6.56951
85,2010-03-27,00:00:00.00,1.45407,0.766481,5.77664
86,2010-03-28,00:00:00.00,0,0.557305,3.96436
87,2010-03-29,00:00:00.00,4.51261,0.383804,3.85109
88,2010-03-30,00:00:00.00,1.99914,0.492672,8.60832
89,2010-03-31,00:00:00.00,0.0310013,0.436719,5.32357
