time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub684 [m3/s],sub685 [m3/s],sub687 [m3/s],sub687 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub703 [m3/s],sub703 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub701 [m3/s],sub702 [m3/s],sub702 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub698 [m3/s],sub682 [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub693 [m3/s],sub689 [m3/s],sub690 [m3/s],sub690 (observed) [m3/s],sub707 [m3/s],sub707 (observed) [m3/s],sub709 [m3/s],sub709 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub713 [m3/s],sub713 (observed) [m3/s],sub714 [m3/s],sub714 (observed) [m3/s],sub715 [m3/s],sub715 (observed) [m3/s],sub723 [m3/s],sub724 [m3/s],sub716 [m3/s],sub716 (observed) [m3/s],sub717 [m3/s],sub717 (observed) [m3/s],sub718 [m3/s],sub718 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s],sub720 [m3/s],sub722 [m3/s],sub722 (observed) [m3/s],sub721 [m3/s],sub721 (observed) [m3/s],sub710 [m3/s],sub710 (observed) [m3/s],sub704 [m3/s],sub704 (observed) [m3/s],sub705 [m3/s],sub705 (observed) [m3/s],sub688 [m3/s],sub688 (observed) [m3/s],sub706 [m3/s],sub706 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,2.86796,6.81493,4.83369,8.74396,45.598,,3.40662,,2.78057,,6.00128,,3.14187,,3.36567,5.80001,,2.09728,,10.0431,,6.31558,2.13993,4.59518,,2.51825,,4.14043,,3.31416,,5.95992,16.503,,9.87249,5.79203,8.21065,,14.6043,,24.8878,,2.02277,,145.389,,12.1879,,27.7277,,2.89341,5.88321,8.06497,,5.94472,,8.54681,,19.8297,,2.011,5.53506,,16.0372,,4.35716,,10.3265,,3.37889,,2.07927,,3.39367,
1,2010-01-02,00:00:00.00,0,2.67046,6.53789,4.48809,8.30241,44.3621,38,3.02302,2.5,2.40377,1.05,5.52971,6.3,2.74016,0.983,3.14408,5.36189,4.5,1.81412,0.329,9.41367,5.6,5.99316,1.95434,4.19247,3.85,2.23954,0.42,3.90418,1.2148,3.11693,1.7273,5.58843,15.569,19.0289,9.2922,5.46743,7.76121,2.7581,14.2635,18.3776,23.9041,24.4374,1.8337,1.6424,147.383,130.824,11.6897,2.2965,26.887,9.6277,2.70146,5.53567,7.53397,5.805,5.62941,3.1149,8.12163,4.7289,19.3277,25.202,1.87094,5.17911,6.4846,15.6429,20.7846,4.17936,6.3996,9.88915,21.6907,3.22032,,1.91554,4.1343,3.21372,7.419
2,2010-01-03,00:00:00.00,0,2.54701,6.18279,3.99251,7.34077,41.227,27,2.45016,2.2,2.01906,1,4.68764,5.78,2.42596,0.85,2.8835,4.70323,4.2,1.45146,0.2,8.4745,4.8,5.68813,1.91218,3.74162,3,1.83269,0.3,3.67227,0.8778,2.915,1.4187,5.06042,14.3612,16.1123,8.5241,5.08059,7.21939,2.2682,13.8419,17.0751,22.1758,21.9456,1.56663,1.2912,150.653,107.604,10.9113,3.1149,25.3276,8.7782,2.52023,5.16607,7.06668,4.1059,5.26576,2.8317,7.64843,5.097,18.52,22.7101,1.76649,4.90227,4.644,14.946,16.0557,3.95807,5.9749,9.21885,20.4164,3.06017,,1.79379,3.3131,3.0219,5.6917
3,2010-01-04,00:00:00.00,0,2.89561,6.22891,4.03512,6.71783,38.3947,22,2.28339,1.85,2.0836,0.947,4.227,5.2,2.59632,0.803,2.99078,4.56611,4.05,1.40498,0.131,8.39146,4.2,6.10357,2.19179,3.94745,2.2,1.71343,0.22,3.88099,0.807,3.11005,1.3762,5.25457,15.098,15.4893,8.91133,5.18321,7.47814,2.1379,13.6811,16.0273,22.1487,19.8784,1.55789,1.0194,144.846,97.6931,11.1004,2.2653,25.2567,7.9287,2.73556,5.50615,7.65344,3.9644,5.52009,2.8034,7.9692,6.6545,18.5288,18.859,1.91912,5.25714,4.4741,14.8285,14.3283,4.01953,5.4935,9.46161,21.0961,3.16383,,2.00271,2.7977,3.16895,5.3802
4,2010-01-05,00:00:00.00,0,3.28915,6.72658,4.46727,6.79188,38.0243,26,2.29399,1.65,2.15424,0.895,4.08793,5.12,2.75747,0.78,3.2846,4.75935,3.92,1.4151,0.13,8.99411,3.8,6.85105,2.45719,4.35859,1.4,1.72023,0.18,4.32176,0.8778,3.47936,1.3026,5.91248,16.9542,12.6293,10.0129,5.43676,8.02949,2.288,13.9564,16.5087,24.0549,18.0661,1.65691,0.8891,135.811,54.6515,12.2996,1.8406,27.4357,7.3624,3.07987,6.20023,8.53248,5.097,6.16979,2.6051,8.76393,7.7022,19.5077,18.9723,2.13947,5.79257,4.1909,15.6955,14.1867,4.37192,5.3519,10.5548,21.0961,3.42941,,2.24802,3.0582,3.50662,5.8333
5,2010-01-06,00:00:00.00,0,3.61685,7.4299,4.85761,7.21421,39.9912,31,2.27559,1.5,2.2118,0.86,4.02526,5.08,2.90978,0.749,3.55667,5.05514,3.79,1.39687,0.132,9.76425,3.45,7.59417,2.70893,4.67667,1.1,1.71657,0.15,4.81564,0.9005,3.82238,1.2573,6.53296,18.6656,12.8275,11.0443,5.87054,8.64418,2.1492,15.371,15.2345,26.569,16.9335,1.72367,0.7646,143.891,32.2812,13.6326,1.4158,30.4928,6.796,3.37386,6.81694,9.33763,4.5307,6.82152,2.2653,9.68367,6.5695,21.2162,20.3881,2.34671,6.36508,4.021,17.3625,17.4715,4.87284,5.182,11.7008,21.5208,3.75671,,2.45317,3.1149,3.91945,5.9182
6,2010-01-07,00:00:00.00,0,3.95152,8.03307,5.17099,7.62336,43.0109,30.5,2.26152,1.38,2.27335,0.828,4.00034,5.05,3.05359,0.722,3.80695,5.32778,3.68,1.3924,0.14,10.4902,3.23,8.29341,2.94753,4.99733,0.95,1.71307,0.13,5.26084,0.8608,4.15487,1.1921,7.15278,20.3328,11.7515,12.0444,6.52183,9.52363,2.0388,17.1445,14.7531,29.0813,16.0273,1.79334,0.7362,160.518,28.8832,14.8748,1.1327,33.3406,6.2297,3.66359,7.39549,10.1772,3.5396,7.41865,2.0388,10.6179,5.4652,23.374,19.7085,2.54703,6.97823,4.021,19.1846,17.4715,5.35747,4.9554,12.7287,21.0961,4.08856,,2.67269,3.0016,4.30412,5.72
7,2010-01-08,00:00:00.00,4.42681e-07,4.25051,8.59909,5.48787,7.93873,46.1701,34,2.24642,1.3,2.32427,0.805,3.97551,5.02,3.18923,0.7,4.04808,5.5506,3.62,1.38097,0.148,11.1626,3.08,8.92835,3.1735,5.29647,0.82,1.70894,0.115,5.64039,0.8042,4.48298,1.127,7.75203,21.9737,11.1002,13.0396,7.10235,10.362,1.9142,18.5481,14.8947,31.411,15.3477,1.85734,0.6853,174.563,26.5895,16.0772,1.0477,36.0455,5.9465,3.93373,7.95522,10.9704,2.9733,7.98519,1.9822,11.5004,4.4457,25.4841,18.6891,2.73549,7.5467,3.9927,20.7988,16.622,5.78705,4.7289,13.7155,21.9456,4.41168,,2.86471,3.1432,4.61264,5.9465
8,2010-01-09,00:00:00.00,0,4.54695,9.15024,5.78081,8.24569,49.0686,30,2.23118,1.25,2.37764,0.78,3.94859,4.95,3.31704,0.668,4.28178,5.78373,3.54,1.3727,0.144,11.8272,2.97,9.54215,3.38734,5.5786,0.7,1.70426,0.1,6.01062,0.7277,4.80017,1.0364,8.31996,23.5366,11.4117,13.9677,7.6592,11.1221,2.0077,19.9632,14.5265,33.6419,15.0362,1.91801,0.6315,190.22,34.5466,17.146,0.9911,38.7165,6.2297,4.19237,8.4792,11.7085,2.8317,8.51894,1.8972,12.2892,3.9644,27.4019,19.1422,2.91462,8.03548,3.8794,22.3737,16.4521,6.17938,4.5307,14.6577,22.7951,4.77055,,3.0489,2.9733,4.91705,5.6917
9,2010-01-10,00:00:00.00,0,4.81716,9.66487,6.0584,8.54231,51.7219,26,2.21568,1.2,2.42227,0.77,3.92166,4.9,3.43731,0.66,4.50994,5.99925,3.48,1.36246,0.139,12.4512,2.82,10.112,3.58951,5.84645,0.63,1.69907,0.087,6.35875,0.6853,5.07963,1.076,8.84243,24.9562,11.0153,14.8243,8.18864,11.8653,1.9369,21.2871,13.5921,35.6837,14.7248,1.97494,0.5748,203.069,35.1129,18.1576,0.9628,41.2047,5.6634,4.44593,8.97888,12.383,2.6901,9.02545,1.784,13.0094,3.7661,29.2221,18.859,3.08417,8.50056,3.9644,23.854,16.622,6.5549,4.7289,15.5733,22.7951,5.11913,,3.22157,2.6051,5.20286,5.0687
